grau,quantidade_vertices,probabilidade
1,210,0.6624605678233438
2,26,0.08201892744479496
3,7,0.022082018927444796
4,4,0.012618296529968454
5,4,0.012618296529968454
6,3,0.00946372239747634
7,3,0.00946372239747634
10,1,0.0031545741324921135
13,1,0.0031545741324921135
20,1,0.0031545741324921135
21,2,0.006309148264984227
51,1,0.0031545741324921135
52,49,0.15457413249211358
53,1,0.0031545741324921135
55,1,0.0031545741324921135
56,1,0.0031545741324921135
60,1,0.0031545741324921135
112,1,0.0031545741324921135
